candidate_id	relative_path	source	genus	species	assembly_label	genome_role	size_bytes	mtime_ns	sequence_count	total_symbols	acgt_count	n_count	gc_count	lowercase_count	ambiguous_iupac_count	invalid_symbol_count	duplicate_header_count	empty_sequence_count	min_sequence_length	max_sequence_length	n50	compression	file_sha256	sequence_sha256	duplicate_group	duplicate_group_size	error_type	error	status
78a4bd04f924b968	legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.XF73/genome/aesev.CIAT22838.gnm1.XF73.genome_main.fna.gz	legume_family_legumeinfo	Aeschynomene	Aeschynomene evenia	CIAT22838.gnm1.XF73	main	94634541	1780812051000000000	13	376386978	371216967	5170011	130812890	0	0	0	0	0	155743	73801912	32760111	gzip	8845138ebaedc8fba54686189d130edba21e85ed6580e1889eec97fd11b19f7d	3816904fe88144aadc0032606db47e4acfe3120ac9ba8bf11692206b576f782a		1			PASS
b1c5e59567defcb2	legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_main.fna.gz	legume_family_legumeinfo	Apios	Apios americana	LA2127.gnm1.KVMK	main	387875832	1780812334000000000	11	1532055155	1532053555	1600	527857359	0	0	0	0	0	101712484	216066426	129893997	gzip	3d9c083f18f005f8fa361f11169fdf4689e2c238952b3722fde562eff6583ec1	042479503e7873d9fd247810cedba506a474cb57f8519ecf363c468d870f8a38	exact_042479503e7873d9	3			PASS
654d02df741da640	legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_softmasked.fna.gz	legume_family_legumeinfo	Apios	Apios americana	LA2127.gnm1.KVMK	softmasked	424141536	1780812387000000000	11	1532055155	1532053555	1600	527857359	1236248685	0	0	0	0	101712484	216066426	129893997	gzip	7edecf218cfc5ff48c9894328d8b7c2556502c9521bfa9e481fbe6d84edfbcfd	042479503e7873d9fd247810cedba506a474cb57f8519ecf363c468d870f8a38	exact_042479503e7873d9	3			PASS
ff55280a152972fc	legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.3WWC/genome/apiam.LA2127.gnm1_hap2.3WWC.genome_main.fna.gz	legume_family_legumeinfo	Apios	Apios americana	LA2127.gnm1_hap2.3WWC	main	398138986	1780812413000000000	11	1525637481	1525635681	1800	526596141	0	0	0	0	0	102237627	213872031	129409164	gzip	5629078dfe7e2fbd380521c7a87420085110a6fc79bf5d72022997baa4c66fc2	d8fab8e11f922c899898cdbab016b21530308c9b3d28b0f64301278375d6fcd9	exact_d8fab8e11f922c89	3			PASS
ae77b50846a001ff	legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.3WWC/genome/apiam.LA2127.gnm1_hap2.3WWC.genome_softmasked.fna.gz	legume_family_legumeinfo	Apios	Apios americana	LA2127.gnm1_hap2.3WWC	softmasked	1551065108	1780822079000000000	11	1525637481	1525635681	1800	526596141	1229712864	0	0	0	0	102237627	213872031	129409164	none	adfea3b27034ccd8e8dd1fbf968a8967399c07489bcae3e5a026fe1bf17d2b6e	d8fab8e11f922c899898cdbab016b21530308c9b3d28b0f64301278375d6fcd9	exact_d8fab8e11f922c89	3			PASS
810b76c898ad2a31	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_main.fna.gz	legume_family_legumeinfo	Apios	Apios priceana	MO19963523.gnm1.814V	main	473280708	1780812513000000000	966	1922083646	1922039146	44500	670156567	0	0	0	0	0	1000	266515275	163541238	gzip	97aca1fa38f294f2bc09aa692608e6b12da5ff8a7d061dd24e44d1b6a0ce86cf	c32ba6ea28f2d5620a40b04371833ef618bd64c89f80b208d0b4d648e47c2767	exact_c32ba6ea28f2d562	3			PASS
e0e2e3967ed8f95e	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_softmasked.fna.gz	legume_family_legumeinfo	Apios	Apios priceana	MO19963523.gnm1.814V	softmasked	516987205	1780812537000000000	966	1922083646	1922039146	44500	670156567	1592272662	0	0	0	0	1000	266515275	163541238	gzip	f0d4ad716d3ebf46dc88dd60ad8f93af4a168e2fac649ac55eca61739ace0407	c32ba6ea28f2d5620a40b04371833ef618bd64c89f80b208d0b4d648e47c2767	exact_c32ba6ea28f2d562	3			PASS
e1f5fa5bad42c187	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_main.fna.gz	legume_family_legumeinfo	Apios	Apios priceana	MO19963523.gnm1_hap2.GPZQ	main	469485435	1780813150000000000	450	1908863672	1908739672	124000	666333080	0	0	0	0	0	1000	266428680	163467000	gzip	904f7225b420c8c6e3702756c58a04f1505227accef904492f7bdd3ff90a4a71	f30433de4696d7572feb5f9a9a426af5a3305c8efa1d5c7a5cf656a141b767d8	exact_f30433de4696d757	2			PASS
ac55cee296d4f6fb	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_softmasked.fna.gz	legume_family_legumeinfo	Apios	Apios priceana	MO19963523.gnm1_hap2.GPZQ	softmasked	512410744	1780813312000000000	450	1908863672	1908739672	124000	666333080	1595340935	0	0	0	0	1000	266428680	163467000	gzip	e62a40b6d5ad0817a049b2eceb23fe0570ca87a9f7b38ae95bfb43beefdfeb76	f30433de4696d7572feb5f9a9a426af5a3305c8efa1d5c7a5cf656a141b767d8	exact_f30433de4696d757	2			PASS
40be408a0bb7c2be	legume_family/legumeinfo/Arachis/cardenasii/K10017.gnm1.DQ4M/genome/araca.K10017.gnm1.DQ4M.genome_main.fna.gz	legume_family_legumeinfo	Arachis	Arachis cardenasii	K10017.gnm1.DQ4M	main	331284981	1780813130000000000	736	1238081721	1232437208	5644513	458954129	4921626	0	0	0	0	10003	158728793	112461280	gzip	f7ef70d0a11cadd3f2ba352f363961df65072eb7d2085edf6edb5e6576f8fb51	6ed342c05e1d713757bbccaf017baf5043816c0234416468789a0564e068d6b9	exact_6ed342c05e1d7137	2			PASS
