candidate_id	source_kind	source	relative_path	member_name	material_key	material	assembly_label	genome_role	genus	species	taxon_source	status	payload_size_bytes	container_size_bytes	sequence_count	total_symbols	acgt_count	n_count	gc_count	lowercase_count	ambiguous_iupac_count	invalid_symbol_count	duplicate_header_count	empty_sequence_count	min_sequence_length	max_sequence_length	n50	container_sha256	payload_sha256	sequence_sha256	exact_group_id	exact_group_size	exact_representative	error_type	error
78a4bd04f924b968	file	legume_family_legumeinfo	legume_family/legumeinfo/Aeschynomene/evenia/CIAT22838.gnm1.XF73/genome/aesev.CIAT22838.gnm1.XF73.genome_main.fna.gz		ciat22838	ciat22838	CIAT22838.gnm1.XF73	main	Aeschynomene	Aeschynomene evenia	assembly_path	PASS	94634541	94634541	13	376386978	371216967	5170011	130812890	0	0	0	0	0	155743	73801912	32760111	8845138ebaedc8fba54686189d130edba21e85ed6580e1889eec97fd11b19f7d	8845138ebaedc8fba54686189d130edba21e85ed6580e1889eec97fd11b19f7d	3816904fe88144aadc0032606db47e4acfe3120ac9ba8bf11692206b576f782a	exact-3816904fe88144aa	1	True		.
b1c5e59567defcb2	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_main.fna.gz		la2127	la2127	LA2127.gnm1.KVMK	main	Apios	Apios americana	assembly_path	PASS	387875832	387875832	11	1532055155	1532053555	1600	527857359	0	0	0	0	0	101712484	216066426	129893997	3d9c083f18f005f8fa361f11169fdf4689e2c238952b3722fde562eff6583ec1	3d9c083f18f005f8fa361f11169fdf4689e2c238952b3722fde562eff6583ec1	042479503e7873d9fd247810cedba506a474cb57f8519ecf363c468d870f8a38	exact-042479503e7873d9	3	True		.
654d02df741da640	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/americana/LA2127.gnm1.KVMK/genome/apiam.LA2127.gnm1.KVMK.genome_softmasked.fna.gz		la2127	la2127	LA2127.gnm1.KVMK	softmasked	Apios	Apios americana	assembly_path	PASS	424141536	424141536	11	1532055155	1532053555	1600	527857359	1236248685	0	0	0	0	101712484	216066426	129893997	7edecf218cfc5ff48c9894328d8b7c2556502c9521bfa9e481fbe6d84edfbcfd	7edecf218cfc5ff48c9894328d8b7c2556502c9521bfa9e481fbe6d84edfbcfd	042479503e7873d9fd247810cedba506a474cb57f8519ecf363c468d870f8a38	exact-042479503e7873d9	3	False		.
ff55280a152972fc	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.3WWC/genome/apiam.LA2127.gnm1_hap2.3WWC.genome_main.fna.gz		la2127	la2127	LA2127.gnm1_hap2.3WWC	main	Apios	Apios americana	assembly_path	PASS	398138986	398138986	11	1525637481	1525635681	1800	526596141	0	0	0	0	0	102237627	213872031	129409164	5629078dfe7e2fbd380521c7a87420085110a6fc79bf5d72022997baa4c66fc2	5629078dfe7e2fbd380521c7a87420085110a6fc79bf5d72022997baa4c66fc2	d8fab8e11f922c899898cdbab016b21530308c9b3d28b0f64301278375d6fcd9	exact-d8fab8e11f922c89	3	True		.
ae77b50846a001ff	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/americana/LA2127.gnm1_hap2.3WWC/genome/apiam.LA2127.gnm1_hap2.3WWC.genome_softmasked.fna.gz		la2127	la2127	LA2127.gnm1_hap2.3WWC	softmasked	Apios	Apios americana	assembly_path	PASS	1551065108	1551065108	11	1525637481	1525635681	1800	526596141	1229712864	0	0	0	0	102237627	213872031	129409164	adfea3b27034ccd8e8dd1fbf968a8967399c07489bcae3e5a026fe1bf17d2b6e	adfea3b27034ccd8e8dd1fbf968a8967399c07489bcae3e5a026fe1bf17d2b6e	d8fab8e11f922c899898cdbab016b21530308c9b3d28b0f64301278375d6fcd9	exact-d8fab8e11f922c89	3	False		.
810b76c898ad2a31	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_main.fna.gz		mo19963523	mo19963523	MO19963523.gnm1.814V	main	Apios	Apios priceana	assembly_path	PASS	473280708	473280708	966	1922083646	1922039146	44500	670156567	0	0	0	0	0	1000	266515275	163541238	97aca1fa38f294f2bc09aa692608e6b12da5ff8a7d061dd24e44d1b6a0ce86cf	97aca1fa38f294f2bc09aa692608e6b12da5ff8a7d061dd24e44d1b6a0ce86cf	c32ba6ea28f2d5620a40b04371833ef618bd64c89f80b208d0b4d648e47c2767	exact-c32ba6ea28f2d562	3	True		.
e0e2e3967ed8f95e	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1.814V/genome/apipr.MO19963523.gnm1.814V.genome_softmasked.fna.gz		mo19963523	mo19963523	MO19963523.gnm1.814V	softmasked	Apios	Apios priceana	assembly_path	PASS	516987205	516987205	966	1922083646	1922039146	44500	670156567	1592272662	0	0	0	0	1000	266515275	163541238	f0d4ad716d3ebf46dc88dd60ad8f93af4a168e2fac649ac55eca61739ace0407	f0d4ad716d3ebf46dc88dd60ad8f93af4a168e2fac649ac55eca61739ace0407	c32ba6ea28f2d5620a40b04371833ef618bd64c89f80b208d0b4d648e47c2767	exact-c32ba6ea28f2d562	3	False		.
e1f5fa5bad42c187	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_main.fna.gz		mo19963523	mo19963523	MO19963523.gnm1_hap2.GPZQ	main	Apios	Apios priceana	assembly_path	PASS	469485435	469485435	450	1908863672	1908739672	124000	666333080	0	0	0	0	0	1000	266428680	163467000	904f7225b420c8c6e3702756c58a04f1505227accef904492f7bdd3ff90a4a71	904f7225b420c8c6e3702756c58a04f1505227accef904492f7bdd3ff90a4a71	f30433de4696d7572feb5f9a9a426af5a3305c8efa1d5c7a5cf656a141b767d8	exact-f30433de4696d757	2	True		.
ac55cee296d4f6fb	file	legume_family_legumeinfo	legume_family/legumeinfo/Apios/priceana/MO19963523.gnm1_hap2.GPZQ/genome/apipr.MO19963523.gnm1_hap2.GPZQ.genome_softmasked.fna.gz		mo19963523	mo19963523	MO19963523.gnm1_hap2.GPZQ	softmasked	Apios	Apios priceana	assembly_path	PASS	512410744	512410744	450	1908863672	1908739672	124000	666333080	1595340935	0	0	0	0	1000	266428680	163467000	e62a40b6d5ad0817a049b2eceb23fe0570ca87a9f7b38ae95bfb43beefdfeb76	e62a40b6d5ad0817a049b2eceb23fe0570ca87a9f7b38ae95bfb43beefdfeb76	f30433de4696d7572feb5f9a9a426af5a3305c8efa1d5c7a5cf656a141b767d8	exact-f30433de4696d757	2	False		.
40be408a0bb7c2be	file	legume_family_legumeinfo	legume_family/legumeinfo/Arachis/cardenasii/K10017.gnm1.DQ4M/genome/araca.K10017.gnm1.DQ4M.genome_main.fna.gz		k10017	k10017	K10017.gnm1.DQ4M	main	Arachis	Arachis cardenasii	assembly_path	PASS	331284981	331284981	736	1238081721	1232437208	5644513	458954129	4921626	0	0	0	0	10003	158728793	112461280	f7ef70d0a11cadd3f2ba352f363961df65072eb7d2085edf6edb5e6576f8fb51	f7ef70d0a11cadd3f2ba352f363961df65072eb7d2085edf6edb5e6576f8fb51	6ed342c05e1d713757bbccaf017baf5043816c0234416468789a0564e068d6b9	exact-6ed342c05e1d7137	2	True		.
